identifier	sample_id	contig_id	BGC_start	BGC_end	BGC_length	deepBGC	GECCO	antiSMASH	merged	Product_class	Tool_representative	BGC_probability	mmseqs_lineage_contig
BAN001_NODE_1_0	BAN001-megahit	NODE_1_length_30101_cov_36.6	7807.0	23626.0	15819.0	Yes			1	Unknown	deepBGC	0.72721	
BAN001_NODE_1002_0	BAN001-megahit	NODE_1002_length_6331_cov_36.6	171.0	6215.0	6044.0	Yes	Yes		2	Unknown	deepBGC	0.97267	
BAN001_NODE_1003_0	BAN001-megahit	NODE_1003_length_6326_cov_34.6	2053.0	5190.0	3137.0	Yes			1	Polyketide	deepBGC	0.82028	
BAN001_NODE_1005_0	BAN001-megahit	NODE_1005_length_6312_cov_37.1	125.0	5208.0	5083.0	Yes			1	Polyketide	deepBGC	0.84608	
BAN001_NODE_1007_0	BAN001-megahit	NODE_1007_length_6310_cov_34.8	1490.0	6136.0	4646.0	Yes			1	Unknown	deepBGC	0.62269	
BAN001_NODE_1008_0	BAN001-megahit	NODE_1008_length_6309_cov_36.9	286.0	6300.0	6014.0	Yes			1	Unknown	deepBGC	0.65431	
BAN001_NODE_1012_0	BAN001-megahit	NODE_1012_length_6300_cov_35.8	1247.0	4731.0	3484.0		Yes		1	Unknown	GECCO	0.9976561170360492	
BAN001_NODE_102_0	BAN001-megahit	NODE_102_length_14105_cov_35.2	2258.0	11066.0	8808.0	Yes			1	Polyketide	deepBGC	0.69807	
BAN001_NODE_1025_0	BAN001-megahit	NODE_1025_length_6256_cov_35.1	1232.0	4570.0	3338.0	Yes	Yes		2	Terpene, Unknown	deepBGC	0.85687	
BAN001_NODE_103_0	BAN001-megahit	NODE_103_length_14089_cov_33.8	3641.0	10141.0	6500.0	Yes			1	Polyketide	deepBGC	0.81272	
BAN001_NODE_1057_0	BAN001-megahit	NODE_1057_length_6167_cov_38.2	3.0	5830.0	5827.0		Yes		1	Unknown	GECCO	0.9552239542859444	
BAN001_NODE_1072_0	BAN001-megahit	NODE_1072_length_6114_cov_33.8	2050.0	5542.0	3492.0	Yes			1	Unknown	deepBGC	0.98992	
BAN001_NODE_1074_0	BAN001-megahit	NODE_1074_length_6105_cov_34.2	1882.0	6074.0	4192.0	Yes			1	Unknown	deepBGC	0.71773	
BAN001_NODE_1079_0	BAN001-megahit	NODE_1079_length_6093_cov_35.4	1315.0	5939.0	4624.0	Yes			1	Polyketide	deepBGC	0.92669	
BAN001_NODE_108_0	BAN001-megahit	NODE_108_length_13969_cov_35.3	304.0	13365.0	13061.0	Yes			1	NRP	deepBGC	0.81491	
BAN001_NODE_1080_0	BAN001-megahit	NODE_1080_length_6092_cov_38.4	939.0	5662.0	4723.0	Yes			1	Unknown	deepBGC	0.86593	
BAN001_NODE_109_0	BAN001-megahit	NODE_109_length_13962_cov_34.0	2817.0	12269.0	9452.0	Yes			1	Polyketide	deepBGC	0.67787	
BAN001_NODE_1101_0	BAN001-megahit	NODE_1101_length_6016_cov_37.8	364.0	5833.0	5469.0	Yes			1	RiPP	deepBGC	0.77638	
BAN001_NODE_1112_0	BAN001-megahit	NODE_1112_length_5992_cov_32.8	345.0	5652.0	5307.0	Yes			1	Unknown	deepBGC	0.62314	
BAN001_NODE_1113_0	BAN001-megahit	NODE_1113_length_5989_cov_35.7	219.0	4141.0	3922.0	Yes			1	Polyketide	deepBGC	0.81496	
BAN001_NODE_1120_0	BAN001-megahit	NODE_1120_length_5966_cov_33.0	429.0	5844.0	5415.0	Yes			1	Unknown	deepBGC	0.82556	
BAN001_NODE_115_0	BAN001-megahit	NODE_115_length_13801_cov_34.5	167.0	8121.0	7954.0	Yes			1	Unknown	deepBGC	0.62149	
BAN001_NODE_1155_0	BAN001-megahit	NODE_1155_length_5875_cov_35.3	1781.0	5480.0	3699.0	Yes			1	Polyketide	deepBGC	0.64871	
BAN001_NODE_1158_0	BAN001-megahit	NODE_1158_length_5870_cov_34.0	337.0	5296.0	4959.0	Yes			1	Terpene	deepBGC	0.72787	
BAN001_NODE_1162_0	BAN001-megahit	NODE_1162_length_5857_cov_32.8	983.0	4652.0	3669.0	Yes			1	Unknown	deepBGC	0.71337	
BAN001_NODE_1166_0	BAN001-megahit	NODE_1166_length_5845_cov_34.1	566.0	4465.0	3899.0	Yes	Yes		2	Polyketide, Unknown	deepBGC	0.6467	
BAN001_NODE_1176_0	BAN001-megahit	NODE_1176_length_5813_cov_35.4	786.0	4556.0	3770.0	Yes			1	RiPP	deepBGC	0.64766	
BAN001_NODE_1183_0	BAN001-megahit	NODE_1183_length_5801_cov_34.8	153.0	4305.0	4152.0	Yes			1	Unknown	deepBGC	0.93655	
BAN001_NODE_1184_0	BAN001-megahit	NODE_1184_length_5800_cov_33.0	1740.0	4803.0	3063.0	Yes	Yes		2	Unknown	deepBGC	0.72211	
BAN001_NODE_1186_0	BAN001-megahit	NODE_1186_length_5799_cov_35.8	708.0	5575.0	4867.0	Yes			1	Other	deepBGC	0.9048	
BAN001_NODE_119_0	BAN001-megahit	NODE_119_length_13707_cov_36.9	1467.0	13420.0	11953.0	Yes			1	Polyketide	deepBGC	0.62434	
BAN001_NODE_1196_0	BAN001-megahit	NODE_1196_length_5779_cov_35.4	1436.0	5487.0	4051.0	Yes	Yes		2	RiPP	deepBGC	0.81922	
BAN001_NODE_1202_0	BAN001-megahit	NODE_1202_length_5766_cov_36.0	1135.0	5388.0	4253.0	Yes	Yes		2	Polyketide, Unknown	deepBGC	0.95662	
BAN001_NODE_1210_0	BAN001-megahit	NODE_1210_length_5724_cov_35.5	986.0	5690.0	4704.0	Yes			1	NRP	deepBGC	0.99184	
BAN001_NODE_1219_0	BAN001-megahit	NODE_1219_length_5695_cov_34.6	308.0	4888.0	4580.0	Yes			1	Unknown	deepBGC	0.67204	
BAN001_NODE_1225_0	BAN001-megahit	NODE_1225_length_5668_cov_33.6	307.0	4018.0	3711.0	Yes			1	Polyketide	deepBGC	0.64361	
BAN001_NODE_123_0	BAN001-megahit	NODE_123_length_13506_cov_34.5	997.0	13364.0	12367.0	Yes			1	NRP	deepBGC	0.67548	
BAN001_NODE_1244_0	BAN001-megahit	NODE_1244_length_5622_cov_38.6	856.0	4380.0	3524.0	Yes			1	Unknown	deepBGC	0.78321	
BAN001_NODE_1253_0	BAN001-megahit	NODE_1253_length_5589_cov_34.5	888.0	5093.0	4205.0	Yes			1	Unknown	deepBGC	0.78945	
BAN001_NODE_1257_0	BAN001-megahit	NODE_1257_length_5585_cov_34.5	782.0	4855.0	4073.0		Yes		1	Unknown	GECCO	0.9414676350302648	
BAN001_NODE_129_0	BAN001-megahit	NODE_129_length_13289_cov_35.7	403.0	11562.0	11159.0	Yes			1	Unknown	deepBGC	0.8735	
BAN001_NODE_1291_0	BAN001-megahit	NODE_1291_length_5512_cov_36.2	1428.0	5345.0	3917.0	Yes			1	Terpene	deepBGC	0.67822	
BAN001_NODE_1312_0	BAN001-megahit	NODE_1312_length_5456_cov_34.6	217.0	3916.0	3699.0	Yes			1	Unknown	deepBGC	0.6365	
BAN001_NODE_1314_0	BAN001-megahit	NODE_1314_length_5451_cov_36.1	531.0	5309.0	4778.0	Yes			1	Unknown	deepBGC	0.80576	
BAN001_NODE_132_0	BAN001-megahit	NODE_132_length_13241_cov_35.7	863.0	12096.0	11233.0	Yes			1	Unknown	deepBGC	0.78669	
BAN001_NODE_1325_0	BAN001-megahit	NODE_1325_length_5429_cov_33.6	1192.0	4987.0	3795.0	Yes			1	Polyketide	deepBGC	0.67132	
BAN001_NODE_1335_0	BAN001-megahit	NODE_1335_length_5409_cov_34.2	934.0	4023.0	3089.0	Yes			1	Unknown	deepBGC	0.65849	
BAN001_NODE_1342_0	BAN001-megahit	NODE_1342_length_5386_cov_35.4	267.0	5057.0	4790.0	Yes	Yes		2	Unknown	deepBGC	0.97716	
BAN001_NODE_1345_0	BAN001-megahit	NODE_1345_length_5381_cov_34.4	108.0	4352.0	4244.0	Yes			1	Polyketide	deepBGC	0.61736	
BAN001_NODE_1351_0	BAN001-megahit	NODE_1351_length_5368_cov_35.7	326.0	4935.0	4609.0	Yes			1	Terpene	deepBGC	0.63635	
BAN001_NODE_1353_0	BAN001-megahit	NODE_1353_length_5366_cov_35.8	664.0	3733.0	3069.0	Yes			1	Unknown	deepBGC	0.61176	
BAN001_NODE_1360_0	BAN001-megahit	NODE_1360_length_5357_cov_36.0	525.0	5338.0	4813.0	Yes			1	Unknown	deepBGC	0.9707	
BAN001_NODE_137_0	BAN001-megahit	NODE_137_length_13034_cov_34.7	1785.0	13025.0	11240.0	Yes			1	Unknown	deepBGC	0.79523	
BAN001_NODE_138_0	BAN001-megahit	NODE_138_length_13021_cov_35.6	147.0	12885.0	12738.0	Yes			1	Unknown	deepBGC	0.64305	
BAN001_NODE_1381_0	BAN001-megahit	NODE_1381_length_5307_cov_35.5	1129.0	4969.0	3840.0	Yes			1	RiPP	deepBGC	0.69431	
BAN001_NODE_1387_0	BAN001-megahit	NODE_1387_length_5302_cov_33.7	1259.0	4927.0	3668.0	Yes			1	Unknown	deepBGC	0.70611	
BAN001_NODE_1390_0	BAN001-megahit	NODE_1390_length_5296_cov_32.6	159.0	3432.0	3273.0	Yes			1	NRP	deepBGC	0.92294	
BAN001_NODE_140_0	BAN001-megahit	NODE_140_length_13016_cov_38.1	1044.0	6883.0	5839.0	Yes			1	Polyketide	deepBGC	0.64966	
BAN001_NODE_1417_0	BAN001-megahit	NODE_1417_length_5232_cov_35.9	19.0	4467.0	4448.0	Yes			1	Unknown	deepBGC	0.75893	
BAN001_NODE_1418_0	BAN001-megahit	NODE_1418_length_5230_cov_36.0	45.0	4434.0	4389.0	Yes			1	Unknown	deepBGC	0.8516	
BAN001_NODE_1422_0	BAN001-megahit	NODE_1422_length_5217_cov_34.0	560.0	4865.0	4305.0	Yes			1	Unknown	deepBGC	0.73213	
BAN001_NODE_1426_0	BAN001-megahit	NODE_1426_length_5210_cov_34.9	562.0	4738.0	4176.0	Yes			1	Polyketide	deepBGC	0.76018	
BAN001_NODE_143_0	BAN001-megahit	NODE_143_length_12885_cov_35.3	2002.0	11200.0	9198.0	Yes			1	Polyketide	deepBGC	0.90697	
BAN001_NODE_1440_0	BAN001-megahit	NODE_1440_length_5190_cov_34.9	749.0	4309.0	3560.0	Yes			1	Unknown	deepBGC	0.65508	
BAN001_NODE_1445_1	BAN001-megahit	NODE_1445_length_5177_cov_37.5	1250.0	5142.0	3892.0	Yes	Yes		2	Polyketide, Terpene	deepBGC	0.96173	
BAN001_NODE_1455_1	BAN001-megahit	NODE_1455_length_5150_cov_34.9	950.0	4323.0	3373.0	Yes	Yes		2	Unknown	deepBGC	0.79391	
BAN001_NODE_1460_0	BAN001-megahit	NODE_1460_length_5133_cov_34.1	698.0	4276.0	3578.0	Yes			1	Unknown	deepBGC	0.76339	
BAN001_NODE_1474_0	BAN001-megahit	NODE_1474_length_5103_cov_35.3	265.0	3541.0	3276.0	Yes			1	Unknown	deepBGC	0.62622	
BAN001_NODE_148_0	BAN001-megahit	NODE_148_length_12811_cov_35.8	361.0	12310.0	11949.0	Yes			1	NRP	deepBGC	0.98696	
BAN001_NODE_1483_0	BAN001-megahit	NODE_1483_length_5078_cov_33.6	3.0	4612.0	4609.0		Yes		1	Polyketide	GECCO	0.9335987077009964	
BAN001_NODE_149_0	BAN001-megahit	NODE_149_length_12807_cov_34.6	3.0	11857.0	11854.0		Yes		1	Unknown	GECCO	0.9741069886245012	
BAN001_NODE_1490_0	BAN001-megahit	NODE_1490_length_5068_cov_37.6	431.0	4771.0	4340.0	Yes			1	RiPP	deepBGC	0.69431	
BAN001_NODE_1492_0	BAN001-megahit	NODE_1492_length_5065_cov_35.3	624.0	4794.0	4170.0	Yes			1	Polyketide	deepBGC	0.63545	
BAN001_NODE_1498_0	BAN001-megahit	NODE_1498_length_5050_cov_35.8	335.0	4157.0	3822.0	Yes			1	Polyketide	deepBGC	0.80486	
BAN001_NODE_1504_0	BAN001-megahit	NODE_1504_length_5041_cov_35.8	63.0	4773.0	4710.0	Yes			1	Unknown	deepBGC	0.74975	
BAN001_NODE_1508_0	BAN001-megahit	NODE_1508_length_5031_cov_35.9	211.0	4279.0	4068.0	Yes			1	Unknown	deepBGC	0.6711	
